Well;Unit;Facies;Facies Thickness;Flow thickness;Core Proportion
1-CS-002-PR;Paranapanema;Simple lava (basic | massive interior);3,65;;
1-CS-002-PR;Paranapanema;Simple lava (basic | L. crust);1,12;;
1-CS-002-PR;Paranapanema;Siliciclastics;1,52;;
1-CS-002-PR;Paranapanema;Simple lava (basic | U. crust);11,6;37,28;0,650214592
1-CS-002-PR;Paranapanema;Simple lava (basic | massive interior);24,24;;
1-CS-002-PR;Paranapanema;Simple lava (basic | L. crust);1,44;;
1-CS-002-PR;Pitanga;Siliciclastics;2,72;2,72;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust);7,12;32;0,7175
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);22,96;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);1,92;;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust);4,91;22,8;0,666666667
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);15,2;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);2,69;;
1-CS-002-PR;Pitanga;Simple lava (basic | rubbly flow top);11,6;39,36;0,622713415
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);24,51;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);3,25;;
1-CS-002-PR;Pitanga;Siliciclastics;1,12;1,12;
1-CS-002-PR;Pitanga;Compound lava (basic);14,08;14,08;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust);2,56;6;0,44
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);2,64;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);0,8;;
1-CS-002-PR;Pitanga;Compound lava (basic);5,28;5,28;
1-CS-002-PR;Pitanga;Siliciclastics;2;2;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust);4,16;21,44;0,753731343
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);16,16;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);1,12;;
1-CS-002-PR;Pitanga;Siliciclastics;1,23;1,23;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust);19,57;56,13;0,619989311
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);34,8;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);1,76;;
1-CS-002-PR;Pitanga;Siliciclastics;1,92;1,92;
1-CS-002-PR;Pitanga;Compound lava (basic);8,24;8,24;
1-CS-002-PR;Pitanga;Simple lava (basic | rubbly flow top);14,4;65,44;0,75794621
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);49,6;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);1,44;;
1-CS-002-PR;Pitanga;Volcaniclastics;4,88;4,88;
1-CS-002-PR;Pitanga;Simple lava (basic | rubbly flow top);9,76;34,16;0,583138173
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);19,92;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);4,48;;
1-CS-002-PR;Pitanga;Simple lava (basic | rubbly flow top);8,08;19,44;0,530864198
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);10,32;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);1,04;;
1-CS-002-PR;Pitanga;Siliciclastics;3,2;3,2;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust);5,04;25,52;0,746081505
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);19,04;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);1,44;;
1-CS-002-PR;Pitanga;Volcaniclastics;1,76;1,76;
1-CS-002-PR;Pitanga;Simple lava (basic | rubbly flow top);4,11;31,36;0,800063776
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);25,09;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);2,16;;
1-CS-002-PR;Pitanga;Siliciclastics;2,32;2,32;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust);5,28;26,88;0,744047619
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);20;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);1,6;;
1-CS-002-PR;Pitanga;Simple lava (basic | U. crust);8,24;26,35;0,581024668
1-CS-002-PR;Pitanga;Simple lava (basic | massive interior);15,31;;
1-CS-002-PR;Pitanga;Simple lava (basic | L. crust);2,8;;
1-CS-002-PR;Esmeralda;Compound lava (basic);12,8;12,8;
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust);4,8;13,33;0,555888972
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior);7,41;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust);1,12;;
1-CS-002-PR;Esmeralda;Siliciclastics;1,76;1,76;
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust);10,11;48,91;0,736045798
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior);36;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust);2,8;;
1-CS-002-PR;Esmeralda;Siliciclastics;1,81;1,81;
1-CS-002-PR;Esmeralda;Simple lava (basic | rubbly flow top);4,72;11,52;0,4375
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior);5,04;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust);1,76;;
1-CS-002-PR;Esmeralda;Siliciclastics;3,36;3,36;
1-CS-002-PR;Esmeralda;Simple lava (basic | rubbly flow top);4,91;70,56;0,915674603
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior);64,61;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust);1,04;;
1-CS-002-PR;Esmeralda;Compound lava (basic);8,16;8,16;
1-CS-002-PR;Esmeralda;Siliciclastics;0,64;0,64;
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust);5,12;13,36;0,48502994
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior);6,48;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust);1,76;;
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust);7,44;15,84;0,439393939
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior);6,96;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust);1,44;;
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust);4,32;12,24;0,568627451
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior);6,96;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust);0,96;;
1-CS-002-PR;Esmeralda;Siliciclastics;3,92;3,92;
1-CS-002-PR;Esmeralda;Simple lava (basic | U. crust);6,59;42,32;0,793950851
1-CS-002-PR;Esmeralda;Simple lava (basic | massive interior);33,6;;
1-CS-002-PR;Esmeralda;Simple lava (basic | L. crust);2,13;;
1-CS-002-PR;Esmeralda;Siliciclastics;2,72;2,72;
1-CS-002-PR;Vale do Sol;Compound lava (basic);6,96;6,96;
1-CS-002-PR;Vale do Sol;Simple lava (basic | U. crust);2,88;6,64;0,409638554
1-CS-002-PR;Vale do Sol;Simple lava (basic | massive interior);2,72;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | L. crust);1,04;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | U. crust);3,84;37,76;0,850370763
1-CS-002-PR;Vale do Sol;Simple lava (basic | massive interior);32,11;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | L. crust);1,81;;
1-CS-002-PR;Vale do Sol;Compound lava (basic);10,7;10,7;
1-CS-002-PR;Vale do Sol;Simple lava (basic | U. crust);7,7;38,42;0,770432067
1-CS-002-PR;Vale do Sol;Simple lava (basic | massive interior);29,6;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | L. crust);1,12;;
1-CS-002-PR;Vale do Sol;Siliciclastics;2,72;2,72;
1-CS-002-PR;Vale do Sol;Simple lava (basic | U. crust);6;34,4;0,779069767
1-CS-002-PR;Vale do Sol;Simple lava (basic | massive interior);26,8;;
1-CS-002-PR;Vale do Sol;Simple lava (basic | L. crust);1,6;;
